,image_1390,image_5526,image_4326,image_1451,image_7260,image_6841,image_4695,image_1824,image_920,image_7278,image_3133,image_2613,image_4238,image_8297,image_5984,image_2257,image_7894,image_4975,image_8928,image_4940,image_7004,image_3368,image_5997,image_7613,image_7127,image_9946,image_5232,image_8691,image_6005,image_755,image_5193,image_8371,image_7320
image_1390,4,0,0,0,1,0,1,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
image_5526,0,4,0,0,1,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
image_4326,0,0,4,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
image_1451,0,0,0,4,0,0,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7260,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6841,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4695,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_1824,1,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_920,1,1,1,1,0,0,0,2,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1
image_7278,2,2,2,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
image_3133,3,2,2,2,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
image_2613,2,2,2,4,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
image_4238,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,3,4,2,3,3,3,2,2,3,0,0,0
image_8297,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,3,4,2,3,3,3,2,2,3,0,0,0
image_5984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,3,4,2,3,3,3,2,2,3,0,0,0
image_2257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,3,4,2,3,3,3,2,2,3,0,0,0
image_7894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,3,4,2,3,3,3,2,2,3,0,0,0
image_4975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_4940,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7004,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_3368,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
image_5997,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_7613,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
image_7127,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_9946,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_5232,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_8691,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_6005,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
image_755,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_5193,2,2,2,0,0,0,0,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_8371,1,1,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_7320,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
