,image_177,image_2377,image_9260,image_4651,image_3417,image_7261,image_6604,image_8418,image_5711,image_5027,image_7662,image_5262,image_20,image_4702,image_6837,image_6659,image_8588,image_2027,image_8833,image_4566,image_1338
image_177,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_2377,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
image_9260,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
image_4651,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_3417,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_7261,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_6604,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
image_8418,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
image_5711,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
image_5027,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0
image_7662,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
image_5262,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0
image_20,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
image_4702,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
image_6837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
image_6659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
image_8588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0
image_2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
image_8833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
image_4566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
image_1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
